Timestamp,Lx,Ly,Lz,LqX,LqY,LqZ,LqW,Rx,Ry,Rz,RqX,RqY,RqZ,RqWGx,Gy,Gz,Glx,Gly,Glz,Gf,Lpd,Rpd
29,-0.1309658,-0.4314349,0.1786766,-0.02393823,-0.09537468,-0.0762224,0.9922302,0.01488057,-0.4751256,0.4453278,0.03397483,-0.0564907,0.1733981,0.9826432,-0.007039934,0.06637955,-0.06500721,-0.0141815,-0.6830568,0.7302275,0.397973,4.072016,3.370166
52,-0.1308632,-0.4313033,0.1783686,-0.02395358,-0.09508286,-0.07648864,0.9922374,0.01529601,-0.4750112,0.4451799,0.03550664,-0.05530073,0.1682331,0.9835541,-0.007264704,0.06488049,-0.06437683,0.001644455,-0.692217,0.7216876,0.3321758,3.189514,4.307769
74,-0.1307774,-0.4311008,0.1780529,-0.02395589,-0.09452018,-0.07690026,0.9922593,0.01563385,-0.4748633,0.4448833,0.03568051,-0.05425346,0.1665314,0.9838957,-0.007621557,0.06335342,-0.06374741,0.0396347,-0.6567831,0.7530371,0.6796664,4.151173,4.385788
103,-0.1307366,-0.4307041,0.1777096,-0.02459224,-0.09422841,-0.07682803,0.992277,0.0158675,-0.4745067,0.444519,0.0341973,-0.05360212,0.1702122,0.9833541,-0.008028328,0.06155396,-0.06309223,0.05708847,-0.6491899,0.758481,0.9514399,4.174548,4.152824
124,-0.1304477,-0.4305325,0.1772099,-0.02533266,-0.09420934,-0.07744119,0.9922126,0.01590148,-0.4741093,0.4442921,0.03285087,-0.05394401,0.170078,0.9834045,-0.008239269,0.06020546,-0.06244278,0.06568184,-0.6241704,0.7785226,2,4.059207,4.400354
157,-0.1305581,-0.42995,0.1766472,-0.02587201,-0.09383398,-0.07712809,0.9922586,0.01602772,-0.4739076,0.4438105,0.03291079,-0.05396234,0.1686594,0.9836457,-0.008545965,0.05815828,-0.06181908,0.07799093,-0.6554086,0.751237,2,3.434253,4.459166
181,-0.1305042,-0.4298959,0.1761694,-0.02631277,-0.09372008,-0.07598572,0.9923459,0.01602963,-0.4738394,0.4434757,0.03323169,-0.05395637,0.168063,0.9837373,-0.008726627,0.056903,-0.06155968,0.08383919,-0.6720351,0.7357579,2,4.046874,4.398716
203,-0.1307277,-0.4298911,0.1757917,-0.02642749,-0.09374175,-0.07654477,0.9922979,0.01564589,-0.4738752,0.4432468,0.03319079,-0.05501413,0.1694947,0.9834345,-0.008910418,0.05592573,-0.06104755,0.08328293,-0.6848973,0.7238644,2,3.986674,4.352796
231,-0.1308173,-0.430532,0.1752682,-0.02483597,-0.09390803,-0.07797407,0.9922119,0.01491752,-0.4740024,0.4428053,0.03311605,-0.05867902,0.1742162,0.9823995,-0.009185374,0.05449522,-0.06006527,0.1057833,-0.701122,0.7051508,2,3.277956,4.294527
251,-0.131224,-0.430951,0.1749229,-0.02290757,-0.09425782,-0.07664503,0.9923287,0.0143415,-0.4738765,0.442441,0.0340559,-0.06106308,0.176404,0.9818316,-0.009489596,0.05351043,-0.05944061,0.07176533,-0.7093654,0.7011778,2,0,3.157162
295,-0.1321217,-0.4311403,0.1741056,-0.02106737,-0.09585278,-0.07678257,0.9922061,0.01416698,-0.4729462,0.4421368,0.03520581,-0.06132323,0.1683253,0.9831921,-0.01030779,0.05156744,-0.0579195,0.05214307,-0.7095953,0.7026775,0.5229554,3.962252,0
317,-0.1328302,-0.4306852,0.1738586,-0.02144196,-0.09675025,-0.077596,0.9920477,0.01419678,-0.4726288,0.4419594,0.03571934,-0.0624519,0.1684601,0.9830794,-0.01073751,0.05068564,-0.05741882,0.03994148,-0.7153636,0.6976099,0.3842334,4.04927,3.332244
340,-0.1333394,-0.4303297,0.1734982,-0.02230915,-0.09782229,-0.07703792,0.9919669,0.01404467,-0.4725257,0.4418011,0.03591315,-0.06328946,0.1697011,0.9828053,-0.0112448,0.04986703,-0.05724335,0.05401997,-0.7005755,0.7115306,0.5180562,3.858535,4.330315
351,-0.1336826,-0.430079,0.1734142,-0.02276936,-0.09846459,-0.07631718,0.9919486,0.01417747,-0.4725598,0.4417744,0.03596429,-0.06314474,0.1708186,0.9826191,-0.01145071,0.04950881,-0.0571785,0.05840202,-0.6947173,0.7169081,0.5912108,3.900476,3.18734
383,-0.1344849,-0.4299431,0.1729164,-0.02336658,-0.1008353,-0.07545787,0.9917623,0.01520625,-0.4731228,0.4413815,0.03738165,-0.06175722,0.1710155,0.9826202,-0.01201576,0.04874885,-0.05689621,0.0384883,-0.7023994,0.7107416,0.4773443,3.963295,3.211149
409,-0.1349683,-0.4298581,0.1726894,-0.02272071,-0.1021101,-0.0757178,0.991627,0.0156087,-0.4736583,0.4411411,0.03869724,-0.0621936,0.1723204,0.9823137,-0.01242849,0.04834783,-0.05665588,0.04749341,-0.7022129,0.7103812,0.4880038,4.013104,4.451489
430,-0.1352112,-0.4298257,0.1725178,-0.02276268,-0.1024661,-0.07478255,0.9916604,0.01557437,-0.474184,0.4410934,0.03996598,-0.06311891,0.1748249,0.9817612,-0.01282418,0.04803765,-0.05656719,0.08722685,-0.694913,0.7137839,0.8638427,3.371896,4.36728
453,-0.1348182,-0.4300307,0.1723232,-0.02333264,-0.1012869,-0.07405069,0.9918231,0.0157651,-0.474615,0.4409714,0.04066819,-0.06275905,0.1753113,0.9816687,-0.01317057,0.0478121,-0.05654049,0.116648,-0.6967043,0.707811,0.713472,2.859871,4.73315
476,-0.1347526,-0.4301201,0.172164,-0.02369512,-0.100658,-0.07394785,0.9918862,0.01585129,-0.4749801,0.4409685,0.04181027,-0.0625719,0.1750584,0.9816778,-0.01346916,0.04767406,-0.0564003,0.102746,-0.6831957,0.722971,0.5471019,4.131044,4.07721
509,-0.1347916,-0.4305977,0.1718388,-0.02299538,-0.1010889,-0.07485583,0.9917908,0.01570335,-0.4755751,0.440773,0.04260245,-0.06340337,0.174839,0.9816295,-0.01383415,0.04737663,-0.056283,0.08969272,-0.6939958,0.7143704,0.4515821,3.502776,3.379435
543,-0.1348759,-0.4313257,0.1714096,-0.02142045,-0.1010013,-0.07360396,0.9919286,0.01572171,-0.4761893,0.440505,0.04396537,-0.06402926,0.1754104,0.9814268,-0.01401904,0.04739761,-0.05628872,0.07959312,-0.7048663,0.7048607,0.3858392,3.488621,3.532251
563,-0.1347588,-0.4316694,0.1711559,-0.02096998,-0.1005131,-0.07272835,0.9920524,0.01594189,-0.476261,0.4404907,0.04468514,-0.0628491,0.1741262,0.9816992,-0.01399049,0.04753029,-0.0563345,0.07903624,-0.7032796,0.7065063,0.3814572,3.643776,3.536835
582,-0.1349096,-0.431785,0.1711025,-0.0207017,-0.1001298,-0.07294894,0.9920806,0.01609698,-0.4762319,0.4405451,0.04476143,-0.06141974,0.172942,0.9819955,-0.01388946,0.04766965,-0.0563221,0.08215721,-0.7008478,0.7085637,0.3934132,3.623423,3.574687
603,-0.1352106,-0.4317896,0.17103,-0.02077757,-0.1000907,-0.07262269,0.9921069,0.01621428,-0.4762986,0.440546,0.04518468,-0.06047593,0.1735654,0.9819247,-0.01365232,0.04784477,-0.05634308,0.08759922,-0.6939893,0.7146364,0.4217064,3.59856,4.265207
626,-0.1355216,-0.4316133,0.1710482,-0.02125886,-0.1002123,-0.07230537,0.9921076,0.01604632,-0.4763458,0.4405518,0.04594452,-0.06083756,0.1738309,0.9818202,-0.01313442,0.04810905,-0.05629539,0.08429491,-0.6948699,0.714178,0.4329744,3.561187,3.508902
660,-0.1358138,-0.4313945,0.1711502,-0.02135236,-0.1005557,-0.07251298,0.9920557,0.01562896,-0.4764004,0.4405661,0.04551559,-0.06140101,0.174006,0.981774,-0.0118655,0.04839921,-0.05646229,0.09619375,-0.6707315,0.7354359,0.5441432,3.895872,3.917223
684,-0.1360513,-0.4310645,0.1711521,-0.0217253,-0.1004056,-0.07198343,0.9921014,0.01502362,-0.4764526,0.4403324,0.04562499,-0.06282119,0.1761847,0.9812904,-0.01017916,0.04881346,-0.05653286,0.2305852,-0.6147848,0.7542348,0.5932969,3.717471,3.440403
707,-0.1361736,-0.4306605,0.1710739,-0.02236263,-0.1002309,-0.07162892,0.9921306,0.01464275,-0.476416,0.4401569,0.0454788,-0.0637053,0.1768164,0.9811265,-0.007868022,0.04937112,-0.05640411,0.3684314,-0.5435166,0.7542201,1.041522,3.750347,3.745952
730,-0.1361928,-0.4302856,0.1712303,-0.0232785,-0.1000026,-0.07080861,0.9921914,0.01437727,-0.4763196,0.4402981,0.04516507,-0.06337858,0.1750819,0.9814732,-0.005050004,0.04997706,-0.05636501,0.4804464,-0.5023787,0.718879,2,3.432411,3.820429
753,-0.136333,-0.4300175,0.1714458,-0.02442248,-0.09986375,-0.07006183,0.9922309,0.01414576,-0.4764079,0.4402313,0.04530707,-0.06352834,0.1756901,0.9813483,-0.001916766,0.05051434,-0.05652809,0.4949644,-0.4976979,0.7122549,0.7692698,3.472419,3.706961
776,-0.1364385,-0.4299157,0.1716146,-0.02513579,-0.09967251,-0.06988813,0.9922445,0.01401272,-0.476607,0.4401979,0.04633111,-0.06389872,0.1772106,0.981003,0.001340419,0.05091703,-0.05696774,0.4879516,-0.5041829,0.7125326,0.6335875,3.472941,3.512062
808,-0.1364692,-0.4302974,0.1717625,-0.02444977,-0.09956388,-0.06940707,0.9923064,0.01390556,-0.4766833,0.440135,0.04719844,-0.0632557,0.1766264,0.9811087,0.005903244,0.05135334,-0.05791759,0.5039093,-0.5069937,0.6993088,0.5527484,3.45378,3.494308
830,-0.1366417,-0.4305577,0.171855,-0.02367769,-0.09940609,-0.06894751,0.9923729,0.01393726,-0.4765189,0.4399643,0.04715564,-0.06201265,0.1745763,0.9815569,0.008983523,0.0515269,-0.05870724,0.4947596,-0.5081383,0.7049884,0.4890863,3.511822,3.627827
854,-0.1364972,-0.4306229,0.1719503,-0.02392679,-0.09892797,-0.06880776,0.9924245,0.01407281,-0.4764384,0.4399376,0.04711618,-0.06162946,0.174955,0.9815155,0.01192212,0.05165005,-0.05943012,0.4835516,-0.5096639,0.7116323,0.5019552,3.496544,3.56335
876,-0.1361745,-0.4307351,0.1721659,-0.02405349,-0.09795634,-0.06906272,0.9925001,0.01409474,-0.4763898,0.4398155,0.04702978,-0.06225678,0.17695,0.9811223,0.01466361,0.05166972,-0.06014824,0.4923027,-0.5086995,0.7063023,0.5064242,3.612501,3.679997
910,-0.1357032,-0.4308093,0.1724339,-0.02418624,-0.09676679,-0.06833406,0.992664,0.01435772,-0.4759368,0.4395437,0.04652099,-0.06074444,0.1757138,0.9814635,0.0185698,0.05133867,-0.06142235,0.5829028,-0.4776161,0.6573485,0.5556693,3.410703,3.541066
932,-0.1350728,-0.4310449,0.1724005,-0.02423716,-0.0960973,-0.06795699,0.9927536,0.01466218,-0.4758196,0.4393501,0.04704287,-0.06006722,0.1749508,0.9816166,0.02080324,0.05110538,-0.06217766,0.6043492,-0.4669476,0.6455401,0.4929198,3.435685,3.53502
955,-0.1347304,-0.4309036,0.1724262,-0.02485724,-0.09508299,-0.06785858,0.9928427,0.01509371,-0.4756727,0.4390907,0.04711986,-0.05970085,0.1744664,0.9817215,0.0227955,0.05074847,-0.06287289,0.6114802,-0.4622595,0.6421901,0.4819245,3.400614,3.497985
975,-0.1342551,-0.4307547,0.1725922,-0.02534579,-0.09416784,-0.06746374,0.9929445,0.01572624,-0.4754629,0.4390736,0.04736442,-0.05920256,0.1746159,0.9817133,0.02466255,0.0502454,-0.06351376,0.6149673,-0.461567,0.639352,0.4719054,3.389172,3.482458
1008,-0.1335901,-0.4306741,0.1729136,-0.02579676,-0.09252032,-0.06711753,0.9931112,0.01706448,-0.4752053,0.4391327,0.04814399,-0.05740104,0.174733,0.9817615,0.02691823,0.04946923,-0.06443214,0.6021177,-0.4651114,0.6489421,0.4240505,3.4233,3.467499
1032,-0.1333382,-0.4304218,0.1730661,-0.02607415,-0.09157253,-0.06700659,0.9931993,0.01816407,-0.4750372,0.4389858,0.04768416,-0.05566095,0.1749072,0.9818531,0.02813801,0.04900193,-0.06501293,0.5915443,-0.4678154,0.6566765,0.4331426,3.45961,3.460119
1053,-0.1331078,-0.4302504,0.1732817,-0.0265036,-0.09080379,-0.06707632,0.9932538,0.01926258,-0.4749546,0.439147,0.04735044,-0.05502831,0.1758911,0.9817292,0.02898481,0.04862332,-0.0652895,0.5842694,-0.4689114,0.6623831,0.4315496,3.465829,3.470782
1076,-0.1328145,-0.430075,0.1735277,-0.02684984,-0.08978652,-0.06744249,0.9933122,0.02003542,-0.4747635,0.4392147,0.04731724,-0.05563119,0.1775659,0.9813952,0.02942139,0.04839182,-0.06535244,0.5781004,-0.4691427,0.6676115,0.4368748,3.465475,3.462768
1110,-0.1324879,-0.4299456,0.174016,-0.02700117,-0.08867619,-0.067511,0.9934031,0.02141371,-0.4741968,0.4397335,0.04775864,-0.05262347,0.1729018,0.9823721,0.02936423,0.04800069,-0.06526852,0.5682708,-0.4698847,0.6754825,0.4389787,3.465771,3.451067
1132,-0.1320972,-0.4302518,0.1739998,-0.02646468,-0.08806549,-0.06771355,0.9934581,0.0225493,-0.4739116,0.4399242,0.0476445,-0.05063409,0.1707723,0.9828545,0.02902263,0.04780102,-0.06510544,0.5620016,-0.47136,0.6796867,0.4392842,3.46611,3.446918
1167,-0.1319232,-0.4304162,0.1742716,-0.02596943,-0.08730986,-0.06750111,0.9935523,0.02435651,-0.4734925,0.4401665,0.04704265,-0.04825749,0.168293,0.9834306,0.02802113,0.04755867,-0.06454372,0.5517642,-0.4725814,0.6871849,0.4405331,3.465213,3.43762
1185,-0.1318606,-0.4303236,0.1745329,-0.02586788,-0.08689126,-0.0678403,0.9935686,0.02517501,-0.4733093,0.4405384,0.04722005,-0.04681731,0.1660752,0.9838686,0.02735931,0.04743516,-0.06414223,0.5463197,-0.4726849,0.6914505,0.4414886,3.456279,3.430422
1204,-0.1319166,-0.4302518,0.1748667,-0.02568683,-0.0863501,-0.068168,0.993598,0.02603236,-0.4732641,0.4409103,0.04800778,-0.04558634,0.1622847,0.9845206,0.02677089,0.04717946,-0.06384468,0.5402523,-0.4728296,0.6961032,0.4423602,3.44841,3.429878
1226,-0.1318212,-0.4302481,0.1750669,-0.02539514,-0.08599272,-0.06793231,0.9936526,0.02732149,-0.4731923,0.4412231,0.04930916,-0.04429986,0.156648,0.9854276,0.02586582,0.04686809,-0.06327438,0.5336642,-0.4737293,0.7005591,0.4421531,3.443176,3.435258
1261,-0.1315206,-0.4303118,0.1753273,-0.02558361,-0.08507657,-0.0665678,0.993819,0.02992144,-0.4732878,0.4416676,0.04960398,-0.04050988,0.1524757,0.98623,0.02443391,0.04640353,-0.06247902,0.526421,-0.4755332,0.7048044,0.4505187,3.474453,3.470137
1282,-0.1315341,-0.4303211,0.17554,-0.02572781,-0.08491105,-0.06712047,0.9937923,0.03145114,-0.4734639,0.4419546,0.05024344,-0.03892877,0.1545351,0.9859408,0.02354458,0.04605675,-0.06207371,0.4736557,-0.4969153,0.7271351,0.5941356,3.644366,3.49099
1308,-0.1318149,-0.4303299,0.1756964,-0.02550696,-0.08558834,-0.06754611,0.993711,0.03319278,-0.4731822,0.442234,0.05055996,-0.036394,0.1520691,0.9864047,0.02232781,0.04560614,-0.06153297,0.2380992,-0.5917244,0.7701759,0.5252643,3.672713,3.430396
